name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
52Impact,,https://www.52impact.nl/,logos/4ada2568f5a8191578a08312050b03a2d8080aa4d76eb170655b84a2138a2a5e.svg,,,,,,,,,"We help corporates, production facilities and financial organisations to accelerate their transition towards sustainability by providing powerful spatial insights for corporate strategy, business tactics, planning, investigations, trading and policy making. Clear, actionable maps and information products that show where and how you can best invest in sustainability, and the impact of your efforts.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
A-SpaX,,https://a-spax.com/,,,,,,,,,,"A‑SpaX provides in‑space manufacturing as a service using modular infrastructure such as the Climate Box and a returnable free‑flying lab, enabling high‑quality microgravity production (e.g., optical fibers, semiconductors).",,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
AAC Hyperion,,https://www.aac-clyde.space/who-we-are/our-companies/hyperion,logos/e156a93568820ac3e33faab24aa9e92d14638503d1df43f0640245f25e533e82.svg,https://twitter.com/AACClydeSpace,,,,,,,,"AAC Hyperion designs high‑performance subsystems for small spacecraft, including star trackers and attitude & orbit control (ADCS) as well as laser‑communication technologies.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Acacia Water,,https://www.acaciawater.com/,logos/35c262106b8db42005df1cd02bb8a892a3c5af67bd556abf6897bc0ec90344c3.svg,,,,,,,,,"Onze missie? Het toegankelijk maken van schoon en veilig water. Slimme, duurzame en praktische oplossingen voor watervraagstukken wereldwijd. Daar werken wij aan. Door wetenschap, praktische daadkracht en professionele gedrevenheid te combineren met persoonlijke betrokkenheid. Met meer dan 30 enthousiaste grondwaterdeskundigen onderzoeken en adviseren we. Toepasbaar en maatschappelijk relevant. Daarbij is continu contact met eigenaren én gebruikers van watersystemen de standaard. Van dorpelingen tot stamhoofd, van burger tot overheid, van waterschap tot boer.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
ACS Innovation,,https://acsinnovation.com/,logos/e39d1a0a3367f7f2fc7be48efa7191b0c5204fc75a255e0d83070d82720abaea.svg,,,,,,,,,"ACS Innovation is a unique full-service development company providing innovative technological products and Automation Vehicles Services, with exceptional knowledge and core competencies in a broad range of information technology and automation industry.",,,,,,,,,,,,Engineering & Test Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Active Space Technologies,,http://activespacetech.com,logos/3c7953b5727476243c323577c2d754d853374caa945ef85acc86d039014f6e74.svg,,,,,,,,,Active Space Technologies provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Lightweight Engineering B.V.,,https://ale.nl/,,,,,,,,,,,,,,,,,,,,,,Engineering & Test Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Aenarete,,https://aenarete.eu,logos/e2881b4ac419ec06e846d5a41d762c63414edce90d558138de2adf87ec18ee61.svg,,,,,,,,,Aenarete provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Aerialtronics,,https://aerialtronics.com,,,,,,,,,,Aerialtronics provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Aeromon,,https://aeromon.io,logos/82fe9af507014cebfa50b82a67d42372188eec7857861eaa5b158e6aada23ff7.svg,,,,,,,,,Aeromon provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
